Photinus indictus (NCC Ent 9),,,,,,,,,
Specimen,Species,Filename,Measurement_type,Location,Sensillum_type,Olfactory_type,Value,Label on image,Comments
NCC Ent 9,Photinus indictus,Photinus_indictus_f9_W.tif,sensillum width dis,F9,mechano,NA,0.515,cyan 1C,
NCC Ent 9,Photinus indictus,Photinus_indictus_f9_W.tif,sensillum width prox,F9,mechano,NA,2.645,cyan 2A,
NCC Ent 9,Photinus indictus,Photinus_indictus_f9_W.tif,sensillum width med,F9,mechano,NA,1.554,cyan 2B,
NCC Ent 9,Photinus indictus,Photinus_indictus_f9_W.tif,sensillum width dis,F9,mechano,NA,0.94,cyan 2C,
NCC Ent 9,Photinus indictus,Photinus_indictus_f9_W.tif,sensillum width prox,F9,mechano,NA,2.768,cyan 3A,
NCC Ent 9,Photinus indictus,Photinus_indictus_f9_W.tif,sensillum width med,F9,mechano,NA,1.571,cyan 3B,
NCC Ent 9,Photinus indictus,Photinus_indictus_f9_W.tif,sensillum width dis,F9,mechano,NA,1.044,cyan 3C,
NCC Ent 9,Photinus indictus,Photinus_indictus_f9_W.tif,sensillum width med,F9,olfactory,trichoid,1.786,magenta 1B,
NCC Ent 9,Photinus indictus,Photinus_indictus_f9_W.tif,sensillum width med,F9,olfactory,basiconica,1.836,magenta 2B,
NCC Ent 9,Photinus indictus,Photinus_indictus_f9_W.tif,sensillum width med,F9,olfactory,basiconica,2.025,magenta 3B,
NCC Ent 9,Photinus indictus,Photinus_indictus_f1_xy.tif,segment width,F1,NA,NA,119.2,NA,
NCC Ent 9,Photinus indictus,Photinus_indictus_f2_xy.tif,segment width,F2,NA,NA,115.1,NA,
NCC Ent 9,Photinus indictus,Photinus_indictus_f3_xy.tif,segment width,F3,NA,NA,109.6,NA,
NCC Ent 9,Photinus indictus,Photinus_indictus_f4_xy.tif,segment width,F4,NA,NA,102.8,NA,
