Pyractomena borealis (LACM Ent 574186),,,,,,,,,
Specimen,Species,Filename,Measurement_type,Location,Sensillum_type,Olfactory_type,Value,Label on image,Comments
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F9W.tif,sensillum width med,F9,mechano,NA,1.272,2B,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F9W.tif,sensillum width dis,F9,mechano,NA,0.509,2C,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F9W.tif,sensillum width prox,F9,mechano,NA,3.581,3A,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F9W.tif,sensillum width med,F9,mechano,NA,1.47,3B,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F9W.tif,sensillum width dis,F9,mechano,NA,0.624,3C,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F9W.tif,sensillum width med,F9,olfactory,trichoid,1.876,1D,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F9W.tif,sensillum width med,F9,olfactory,trichoid,2.068,2D,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F9W.tif,sensillum width med,F9,olfactory,trichoid,2.035,3D,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F1.tif,segment width,F1,NA,NA,200.6,NA,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F2.tif,segment width,F2,NA,NA,197.7,NA,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F3.tif,segment width,F3,NA,NA,180.2,NA,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F4.tif,segment width,F4,NA,NA,163.8,NA,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F5.tif,segment width,F5,NA,NA,142.2,NA,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F6.tif,segment width,F6,NA,NA,147.6,NA,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F7.tif,segment width,F7,NA,NA,149.2,NA,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F8-WO.tif,segment width,F8,NA,NA,140.1,NA,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F9.tif,segment width,F9,NA,NA,135.2,NA,
