Photo,Specimen,Species,Location,Sensillum_type,Olfactory_type,x,y,Number,Comments,,,,,,,,,,,
bicelloynchaM f3_xy.tif,NCC Ent 2,Bicellonycha wickershamorum,F3,mechano,NA,114.051,86.84,26,yellow,,,,,,,,,,,
bicelloynchaM f3_xy.tif,NCC Ent 2,Bicellonycha wickershamorum,F3,mechano,NA,93.531,47.435,27,yellow,,,,,,,,,,,
bicelloynchaM f3_xy.tif,NCC Ent 2,Bicellonycha wickershamorum,F3,mechano,NA,126.393,106.616,28,yellow,,,,,,,,,,,
bicelloynchaM f3_xy.tif,NCC Ent 2,Bicellonycha wickershamorum,F3,mechano,NA,112.267,116.282,29,yellow,,,,,,,,,,,
bicelloynchaM f3_xy.tif,NCC Ent 2,Bicellonycha wickershamorum,F3,mechano,NA,146.765,107.509,30,yellow,,,,,,,,,,,
bicelloynchaM f3_xy.tif,NCC Ent 2,Bicellonycha wickershamorum,F3,mechano,NA,149.441,124.014,31,yellow,,,,,,,,,,,
bicelloynchaM f3_xy.tif,NCC Ent 2,Bicellonycha wickershamorum,F3,mechano,NA,132.341,79.405,32,yellow,,,,,,,,,,,
bicelloynchaM f3_xy.tif,NCC Ent 2,Bicellonycha wickershamorum,F3,mechano,NA,157.025,99.181,33,yellow,,,,,,,,,,,
bicelloynchaM f3_xy.tif,NCC Ent 2,Bicellonycha wickershamorum,F3,mechano,NA,166.393,63.048,34,yellow,,,,,,,,,,,
bicelloynchaM f3_xy.tif,NCC Ent 2,Bicellonycha wickershamorum,F3,mechano,NA,173.233,84.46,35,yellow,,,,,,,,,,,
bicelloynchaM f3_xy.tif,NCC Ent 2,Bicellonycha wickershamorum,F3,mechano,NA,166.542,92.936,36,yellow,,,,,,,,,,,
bicelloynchaM f3_xy.tif,NCC Ent 2,Bicellonycha wickershamorum,F3,mechano,NA,176.95,142.155,37,yellow,,,,,,,,,,,
bicelloynchaM f3_xy.tif,NCC Ent 2,Bicellonycha wickershamorum,F3,mechano,NA,178.884,124.163,38,yellow,,,,,,,,,,,
